"Description","Media Serial","Region","File","Size","MD5","CRC32"
"'96 Zenkoku Koukou Soccer Senshuken (Japan)","","","'96 Zenkoku Koukou Soccer Senshuken (Japan).sfc","1572864","3369347F7663B133CE445C15200A5AFA","05FBB855"
"2020 Super Baseball (Japan)","SHVC-SA","Japan","2020 Super Baseball (Japan).sfc","1572864","C9027B03A719A547CB2D9BCF9A9A6CBB","E95A3DD7"
"2020 Super Baseball (USA)","SNS-SA-USA","USA","2020 Super Baseball (USA).sfc","1572864","6AE225F4D94D3017415714449246D2E1","0D77933E"
"3 Jigen Kakutou Ballz (Japan) (Sample)","","Japan","3 Jigen Kakutou Ballz (Japan) (Sample).sfc","1048576","56F5C0F9559AE498E5C1FC0AF59A6C97","FFF8C139"
"3 Ninjas Kick Back (USA)","SNS-A3NE-USA","USA","3 Ninjas Kick Back (USA).sfc","2097152","C638C1175840C6640D897951DAA73637","F2EE11F9"
"3-jigen Kakutou Ballz (Japan)","SHVC-ABZJ","Japan","3-jigen Kakutou Ballz (Japan).sfc","1048576","5403A00958BCB9A3D3FD714C48115E7E","F0810694"
"3x3 Eyes - Juuma Houkan (Japan)","","","3x3 Eyes - Juuma Houkan (Japan).sfc","2097152","7E55EE60AA3F1E37F7A7A006201EC035","AD4AD163"
"3x3 Eyes - Seima Kourinden (Japan)","","Japan","3x3 Eyes - Seima Kourinden (Japan).sfc","1048576","E9140405887A1D5F32AA009F1E2CD0DA","FBF3C0FF"
"4-nin Shougi (Japan)","","","4-nin Shougi (Japan).sfc","524288","85C9029C63AC3A61191303D957E37259","9008C18A"
"46 Okunen Monogatari - Harukanaru Eden e (Japan)","","","46 Okunen Monogatari - Harukanaru Eden e (Japan).sfc","1572864","116B082005E47A83D3E87FF97C525530","B090235A"
"7th Saga, The (USA)","","USA","7th Saga, The (USA).sfc","1572864","A42772A0BEAF71F9256A8E1998BFE6E3","B3ABDDE6"
"7th Saga, The (USA)","SNS-EL-USA","USA","7th Saga, The (USA).sfc","1572864","A42772A0BEAF71F9256A8E1998BFE6E3","B3ABDDE6"
"90 Minutes - European Prime Goal (Europe)","SNSP-AJ3P-NOE","Europe","90 Minutes - European Prime Goal (Europe).sfc","2097152","305D00418B1302139FA01FB1640E2C65","1AD61BD0"
"90 Minutes - European Prime Goal (Europe) (Beta)","","","90 Minutes - European Prime Goal (Europe) (Beta).sfc","2097152","D454032507D36283BE629D6CDDCBB19F","1BC71881"
"A.S.P. - Air Strike Patrol (USA)","SNS-4A-USA","USA","A.S.P. - Air Strike Patrol (USA).sfc","1048576","BA031908E769425E737CE35700F818F5","05C0DA54"
"Aaahh!!! Real Monsters (Europe)","SNSP-ANNP-EUR","Europe","Aaahh!!! Real Monsters (Europe).sfc","2097152","7C688BF357106D21CE61F528979EB90E","946313FB"
"Aaahh!!! Real Monsters (USA)","","USA","Aaahh!!! Real Monsters (USA).sfc","2097152","E4E77B581700A6CD58E711EE02B1A61F","27FF5BA1"
"Aaahh!!! Real Monsters (USA)","SNS-ANNE-USA","USA","Aaahh!!! Real Monsters (USA).sfc","2097152","E4E77B581700A6CD58E711EE02B1A61F","27FF5BA1"
"ABC Monday Night Football (Japan)","","","ABC Monday Night Football (Japan).sfc","1048576","931B0F1DA8FAEDF8FE986D78F946665F","24D4CFE9"
"ABC Monday Night Football (USA)","SNS-N5-USA","USA","ABC Monday Night Football (USA).sfc","1048576","ACAAB9B12349F4AA3C6669878DC35EF4","E0DC8AD7"
"Accele Brid (Japan)","","Japan","Accele Brid (Japan).sfc","2097152","70688D5943868455F6C515DAB44DBF57","4A736C38"
"Ace o Nerae! (Japan)","","","Ace o Nerae! (Japan).sfc","1048576","572CF198450D3424DA503F93D4E6AC85","6C5F1A18"
"ACME Animation Factory (Europe)","SNSP-ACMP-NOE","Europe","ACME Animation Factory (Europe).sfc","1048576","76392B4B33146FE4FAC5B26358A9B9F4","AAD3A72D"
"ACME Animation Factory (USA)","SNS-ACME-USA","USA","ACME Animation Factory (USA).sfc","1048576","4623FC6ECF936F67C21E2D4BCADABF80","0944A5C3"
"Acrobat Mission (Japan) (En)","","Japan","Acrobat Mission (Japan) (En).sfc","1048576","445B931E1D09A24CDD467720A641B8E7","0DA18A10"
"Action Pachio (Japan)","","Japan","Action Pachio (Japan).sfc","1048576","10556E66FD824A5779B26AE29E7E283F","C752F5DF"
"ActRaiser (Europe)","SNSP-AR-UKV","Europe","ActRaiser (Europe).sfc","1048576","9B36075B53DEC1A506B1F9334E670C63","09097B2B"
